Date,Reference,Rate,,,,,,dontknow,
5/17/2002,EFFR,1.7,,,,,,1.75,
5/20/2002,EFFR,1.72,,,,,,1.75,
5/21/2002,EFFR,1.68,,,,,,1.75,
5/22/2002,EFFR,1.73,,,,,,1.75,
5/23/2002,EFFR,1.76,,,,,,1.75,
5/24/2002,EFFR,1.75,,,,,,1.75,
5/28/2002,EFFR,1.88,,,,,,1.75,
5/29/2002,EFFR,1.79,,,,,,1.75,
5/30/2002,EFFR,1.8,,,,,,1.75,
5/31/2002,EFFR,1.79,,,,,,1.75,
6/3/2002,EFFR,1.83,,,,,,1.75,
6/4/2002,EFFR,1.73,,,,,,1.75,
6/5/2002,EFFR,1.7,,,,,,1.75,
6/6/2002,EFFR,1.75,,,,,,1.75,
6/7/2002,EFFR,1.73,,,,,,1.75,
6/10/2002,EFFR,1.76,,,,,,1.75,
6/11/2002,EFFR,1.72,,,,,,1.75,
6/12/2002,EFFR,1.75,,,,,,1.75,
6/13/2002,EFFR,1.76,,,,,,1.75,
6/14/2002,EFFR,1.75,,,,,,1.75,
6/17/2002,EFFR,1.82,,,,,,1.75,
6/18/2002,EFFR,1.71,,,,,,1.75,
6/19/2002,EFFR,1.69,,,,,,1.75,
6/20/2002,EFFR,1.75,,,,,,1.75,
6/21/2002,EFFR,1.74,,,,,,1.75,
6/24/2002,EFFR,1.77,,,,,,1.75,
6/25/2002,EFFR,1.75,,,,,,1.75,
6/26/2002,EFFR,1.78,,,,,,1.75,
6/27/2002,EFFR,1.81,,,,,,1.75,
6/28/2002,EFFR,1.73,,,,,,1.75,
7/1/2002,EFFR,1.83,,,,,,1.75,
7/2/2002,EFFR,1.72,,,,,,1.75,
7/3/2002,EFFR,1.71,,,,,,1.75,
7/5/2002,EFFR,1.72,,,,,,1.75,
7/8/2002,EFFR,1.75,,,,,,1.75,
7/9/2002,EFFR,1.72,,,,,,1.75,
7/10/2002,EFFR,1.74,,,,,,1.75,
7/11/2002,EFFR,1.76,,,,,,1.75,
7/12/2002,EFFR,1.71,,,,,,1.75,
7/15/2002,EFFR,1.83,,,,,,1.75,
7/16/2002,EFFR,1.72,,,,,,1.75,
7/17/2002,EFFR,1.71,,,,,,1.75,
7/18/2002,EFFR,1.74,,,,,,1.75,
7/19/2002,EFFR,1.72,,,,,,1.75,
7/22/2002,EFFR,1.77,,,,,,1.75,
7/23/2002,EFFR,1.73,,,,,,1.75,
7/24/2002,EFFR,1.67,,,,,,1.75,
7/25/2002,EFFR,1.75,,,,,,1.75,
7/26/2002,EFFR,1.69,,,,,,1.75,
7/29/2002,EFFR,1.75,,,,,,1.75,
