Date,DFEDTARL,DFEDTARU,IORR,Dater,SOFR,EFFR,RRPONTSYAWARD
1/22/2017,0.5,0.75,0.75,6/16/2017,NA,1.16,1
1/23/2017,0.5,0.75,0.75,6/19/2017,NA,1.16,1
1/24/2017,0.5,0.75,0.75,6/20/2017,NA,1.16,1
1/25/2017,0.5,0.75,0.75,6/21/2017,NA,1.16,1
1/26/2017,0.5,0.75,0.75,6/22/2017,NA,1.16,1
1/27/2017,0.5,0.75,0.75,6/23/2017,NA,1.16,1
1/28/2017,0.5,0.75,0.75,6/26/2017,NA,1.16,1
1/29/2017,0.5,0.75,0.75,6/27/2017,NA,1.16,1
1/30/2017,0.5,0.75,0.75,6/28/2017,NA,1.16,1
1/31/2017,0.5,0.75,0.75,6/29/2017,NA,1.16,1
2/1/2017,0.5,0.75,0.75,6/30/2017,NA,1.06,1
2/2/2017,0.5,0.75,0.75,7/3/2017,NA,1.16,1
2/3/2017,0.5,0.75,0.75,7/5/2017,NA,1.16,1
2/4/2017,0.5,0.75,0.75,7/6/2017,NA,1.16,1
2/5/2017,0.5,0.75,0.75,7/7/2017,NA,1.16,1
2/6/2017,0.5,0.75,0.75,7/10/2017,NA,1.16,1
2/7/2017,0.5,0.75,0.75,7/11/2017,NA,1.16,1
2/8/2017,0.5,0.75,0.75,7/12/2017,NA,1.16,1
2/9/2017,0.5,0.75,0.75,7/13/2017,NA,1.16,1
2/10/2017,0.5,0.75,0.75,7/14/2017,NA,1.16,1
2/11/2017,0.5,0.75,0.75,7/17/2017,NA,1.16,1
2/12/2017,0.5,0.75,0.75,7/18/2017,NA,1.16,1
2/13/2017,0.5,0.75,0.75,7/19/2017,NA,1.16,1
2/14/2017,0.5,0.75,0.75,7/20/2017,NA,1.16,1
2/15/2017,0.5,0.75,0.75,7/21/2017,NA,1.16,1
2/16/2017,0.5,0.75,0.75,7/24/2017,NA,1.16,1
2/17/2017,0.5,0.75,0.75,7/25/2017,NA,1.16,1
2/18/2017,0.5,0.75,0.75,7/26/2017,NA,1.16,1
2/19/2017,0.5,0.75,0.75,7/27/2017,NA,1.16,1
2/20/2017,0.5,0.75,0.75,7/28/2017,NA,1.16,1
2/21/2017,0.5,0.75,0.75,7/31/2017,NA,1.07,1
2/22/2017,0.5,0.75,0.75,8/1/2017,NA,1.16,1
2/23/2017,0.5,0.75,0.75,8/2/2017,NA,1.16,1
2/24/2017,0.5,0.75,0.75,8/3/2017,NA,1.16,1
2/25/2017,0.5,0.75,0.75,8/4/2017,NA,1.16,1
2/26/2017,0.5,0.75,0.75,8/7/2017,NA,1.16,1
2/27/2017,0.5,0.75,0.75,8/8/2017,NA,1.16,1
2/28/2017,0.5,0.75,0.75,8/9/2017,NA,1.16,1
3/1/2017,0.5,0.75,0.75,8/10/2017,NA,1.16,1
3/2/2017,0.5,0.75,0.75,8/11/2017,NA,1.16,1
3/3/2017,0.5,0.75,0.75,8/14/2017,NA,1.16,1
3/4/2017,0.5,0.75,0.75,8/15/2017,NA,1.16,1
3/5/2017,0.5,0.75,0.75,8/16/2017,NA,1.16,1
3/6/2017,0.5,0.75,0.75,8/17/2017,NA,1.16,1
3/7/2017,0.5,0.75,0.75,8/18/2017,NA,1.16,1
